series,time_s,value
pitch_angle,8.492,1.0894
pitch_angle,8.631,1.072
pitch_angle,8.769,0.9851
pitch_angle,8.908,1.0199
pitch_angle,9.047,1.1068
pitch_angle,9.185,1.0894
pitch_angle,9.324,1.0373
pitch_angle,9.463,1.0547
pitch_angle,9.601,1.0894
pitch_angle,9.74,1.0894
pitch_angle,9.879,1.072
pitch_angle,10.017,1.072
pitch_angle,10.156,0.9504
pitch_angle,10.295,0.9677
pitch_angle,10.433,1.0547
pitch_angle,10.572,1.1068
pitch_angle,10.711,1.1242
pitch_angle,10.849,1.0894
pitch_angle,10.988,1.072
pitch_angle,11.127,1.0025
pitch_angle,11.265,0.6374
pitch_angle,11.404,0.1681
pitch_angle,11.543,0.1507
pitch_angle,11.681,0.1507
pitch_angle,11.82,0.0985
pitch_angle,11.959,0.3419
pitch_angle,12.097,0.3767
pitch_angle,12.236,0.2898
pitch_angle,12.375,0.3245
pitch_angle,12.513,0.3419
pitch_angle,12.652,0.5679
pitch_angle,12.791,0.933
pitch_angle,12.929,1.0894
pitch_angle,13.068,0.9851
pitch_angle,13.207,0.8113
pitch_angle,13.345,0.7939
pitch_angle,13.484,0.9156
pitch_angle,13.623,0.6896
pitch_angle,13.761,0.3593
pitch_angle,13.9,0.3245
pitch_angle,14.039,0.4288
pitch_angle,14.177,0.5158
pitch_angle,14.316,1.8022
pitch_angle,14.455,2.7061
pitch_angle,14.593,2.654
pitch_angle,14.732,1.5588
pitch_angle,14.871,1.0025
pitch_angle,15.009,0.8008
pitch_angle,15.148,0.4984
pitch_angle,15.287,0.4984
pitch_angle,15.425,0.5563
pitch_angle,15.564,0.5505
pitch_angle,15.703,0.8634
pitch_angle,15.841,1.385
pitch_angle,15.98,1.976
pitch_angle,16.119,2.2368
pitch_angle,16.257,1.9586
pitch_angle,16.396,1.9586
pitch_angle,16.535,2.2889
pitch_angle,16.673,1.5588
pitch_angle,16.812,0.6201
pitch_angle,16.951,0.2376
pitch_angle,17.089,0.3941
pitch_angle,17.228,0.4462
pitch_angle,17.367,0.5679
pitch_angle,17.505,0.5158
pitch_angle,17.644,0.3245
pitch_angle,17.783,0.5331
pitch_angle,17.921,0.7244
pitch_angle,18.06,2.0021
pitch_angle,18.199,2.8104
pitch_angle,18.337,3.0191
pitch_angle,18.476,2.6192
pitch_angle,18.615,2.6192
pitch_angle,18.753,2.9321
pitch_angle,18.892,2.7409
pitch_angle,19.031,1.8717
pitch_angle,19.169,1.0199
pitch_angle,19.308,0.5331
pitch_angle,19.447,0.5331
pitch_angle,19.585,0.5679
pitch_angle,19.724,0.6548
pitch_angle,19.863,0.6722
pitch_angle,20.001,0.6548
pitch_angle,20.14,0.7417
pitch_angle,20.279,1.072
pitch_angle,20.417,1.6457
pitch_angle,20.556,1.7848
pitch_angle,20.695,1.0373
pitch_angle,20.833,0.5505
pitch_angle,20.972,0.9504
pitch_angle,21.111,1.0644
pitch_angle,21.249,1.4023
pitch_angle,21.388,0.8982
pitch_angle,21.527,0.7591
pitch_angle,21.665,0.846
pitch_angle,21.804,0.8982
pitch_angle,21.943,0.6722
pitch_angle,22.081,0.5853
pitch_angle,22.22,1.0199
pitch_angle,22.359,2.1672
pitch_angle,22.497,2.6192
pitch_angle,22.636,1.7546
pitch_angle,22.775,1.385
pitch_angle,22.913,1.5762
pitch_angle,23.052,1.976
pitch_angle,23.191,1.6805
pitch_angle,23.329,1.4893
pitch_angle,23.468,1.5414
pitch_angle,23.607,1.6109
pitch_angle,23.745,1.7674
pitch_angle,23.884,1.9239
pitch_angle,24.023,2.0455
pitch_angle,24.161,2.0455
pitch_angle,24.3,2.2194
pitch_angle,24.439,2.5497
pitch_angle,24.577,1.9934
pitch_angle,24.716,0.8113
pitch_angle,24.855,0.255
pitch_angle,24.993,0.1333
pitch_angle,25.132,0.3767
pitch_angle,25.271,0.4984
pitch_angle,25.409,0.5505
pitch_angle,25.548,0.5853
pitch_angle,25.687,0.6548
pitch_angle,25.825,0.5505
pitch_angle,25.964,0.5331
pitch_angle,26.103,0.5853
pitch_angle,26.241,0.7939
pitch_angle,26.38,0.7417
pitch_angle,26.519,0.5679
pitch_angle,26.657,0.3071
pitch_angle,26.796,0.481
pitch_angle,26.935,0.8808
pitch_angle,27.073,1.298
pitch_angle,27.212,1.4023
pitch_angle,27.351,1.385
pitch_angle,27.489,1.0373
pitch_angle,27.628,0.7244
